663996152958877696,PCD   Jaymes,   Ya un pote il a trebucher vec on iphone6 dans la poche arriere on entend  crack  il dit  Seigneur fait que ce soit mon p ,Tue Nov 10 09:26:33 CET 2015,iphone6,0
663995498379026432,JACQUE,Etui Cuir iPhone 6 ribal Bleue   Housse Apple Flip  ,Tue Nov 10 09:23:57 CET 2015,iphone6,4
663991002202374144,tout pour iphone,   OnePlus 2 vs HC One M9       h ,Tue Nov 10 09:06:05 CET 2015,iphone6,2
663989922383183872,dogpunk,     A FAIE OUNE Iphone6 64GB achet  le 15 ao t PAFAI  A A vendre 600 avec facture et Garantie UGEN   bisn ,Tue Nov 10 09:01:48 CET 2015,iphone6,2
663985681945878528,AppYouNeed, iPad Pro   date de sortie le 11 novembre en France ,Tue Nov 10 08:44:57 CET 2015,iphone6,4
663983985194835968,Swoosh,   Ya un pote il a trebucher vec on iphone6 dans la poche arriere on entend  crack  il dit  Seigneur fait que ce soit mon p ,Tue Nov 10 08:38:12 CET 2015,iphone6,2
663982351555268608,shishikoma,4 iPhone6 iPhone6Plus debut spec  ,Tue Nov 10 08:31:43 CET 2015,iphone6,2
663982042007212033,Smart Mobile Hub,OnePlus 2 vs HC One M9       ,Tue Nov 10 08:30:29 CET 2015,iphone6,2
663977807928774656,black money,   Ya un pote il a trebucher vec on iphone6 dans la poche arriere on entend  crack  il dit  Seigneur fait que ce soit mon p ,Tue Nov 10 08:13:40 CET 2015,iphone6,0
663977431632650240,jamila,   Ya un pote il a trebucher vec on iphone6 dans la poche arriere on entend  crack  il dit  Seigneur fait que ce soit mon p ,Tue Nov 10 08:12:10 CET 2015,iphone6,0
663975954436513792,Guillaum Dchr,   Ya un pote il a trebucher vec on iphone6 dans la poche arriere on entend  crack  il dit  Seigneur fait que ce soit mon p ,Tue Nov 10 08:06:18 CET 2015,iphone6,0
663972362954649600,Gena ,A noel je veux l iphone6 je veux une place pour le concert de Drake a Paris   ,Tue Nov 10 07:52:01 CET 2015,iphone6,4
663972295321497600,Mr Intimement,     A FAIE OUNE Iphone6 64GB achet  le 15 ao t PAFAI  A A vendre 600 avec facture et Garantie UGEN   bisn ,Tue Nov 10 07:51:45 CET 2015,iphone6,4
663971866814644225,JACQUE,Etui Cuir iPhone 6 James 007   Housse Apple Flip  ,Tue Nov 10 07:50:03 CET 2015,iphone6,4
663971459950354432,sab,   Ya un pote il a trebucher vec on iphone6 dans la poche arriere on entend  crack  il dit  Seigneur fait que ce soit mon p ,Tue Nov 10 07:48:26 CET 2015,iphone6,0
663790424503513088,MokkoW,  Fredixe fr  Sympas les pistes cyclables    Lille  Vlille   foutage de g e ou pas    ,Mon Nov 09 19:49:04 CET 2015,vlille,4
663783528941944832,F ,Sympas les pistes cyclables    Lille  Vlille   foutage de g e ou pas    ,Mon Nov 09 19:21:40 CET 2015,vlille,4
663636252135133185,Ludwig Wultz, gurdiiil ah en plus   joli   ton v lo est p t    ou vlille  ,Mon Nov 09 09:36:26 CET 2015,vlille,4
662681118160896000,W o,C est combien  VLille  Lille ,Fri Nov 06 18:21:05 CET 2015,vlille,2
662276231866486784,Berangere,que pour l abonnement VLille ce n est pas ici   iens la personne que j ai eu au t l phone n avait pas d  juger utile de m en informer ,Thu Nov 05 15:32:12 CET 2015,vlille,2
662014491983544320,momo, GermainCouture7 att  tape par  tape jprend d j  ma carte vLille,Wed Nov 04 22:12:09 CET 2015,vlille,2
661281842398670850,Nina,Mdr l itin raire transpole qui me dit d aller bosser en vlille  Allez Sors moi les horaires de bus c est plus dr le,Mon Nov 02 21:40:51 CET 2015,vlille,2
661088811519225856,Christophe Montel,Les  vlille font encore fort   Merci l appli  transpole   ,Mon Nov 02 08:53:49 CET 2015,vlille,4
661079877127376896,Antoine Meausoone,  ojacquemart  La nouvelle version de vlilleChecker supporte les widgets   vlille  transpole  lille,Mon Nov 02 08:18:19 CET 2015,vlille,4
661076758154911744,Olivier Jacquemart,La nouvelle version de vlilleChecker supporte les widgets   vlille  transpole  lille,Mon Nov 02 08:05:56 CET 2015,vlille,4
663790424503513088,MokkoW,   Sympas les pistes cyclables    Lille  Vlille   foutage de g e ou pas    ,Mon Nov 09 19:49:04 CET 2015,vlille,4
663783528941944832,F ,Sympas les pistes cyclables    Lille  Vlille   foutage de g e ou pas    ,Mon Nov 09 19:21:40 CET 2015,vlille,4
663636252135133185,Ludwig Wultz, ah en plus   joli   ton v lo est p t    ou vlille  ,Mon Nov 09 09:36:26 CET 2015,vlille,4
662681118160896000,W o,C est combien  VLille  Lille ,Fri Nov 06 18:21:05 CET 2015,vlille,2
